task_name,gold_standard_file,coverage,entity_name,kendalltau_correlation,kendalltau_pvalue
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Apple_Inc.,0.052631578947368,0.773219474906322
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Google,0.242105263157895,0.145844218364727
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Facebook,0.084210526315789,0.630798946258977
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Microsoft,0.178947368421053,0.288378196376409
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/IBM,0.115789473684211,0.500609627166415
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Angelina_Jolie,0.126315789473684,0.460523794438916
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Brad_Pitt,-0.105263157894737,0.542422144891093
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Johnny_Depp,0.189473684210526,0.259839989318916
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Jennifer_Aniston,0.063157894736842,0.724636220527281
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Leonardo_DiCaprio,0.178947368421053,0.288378196376409
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Grand_Theft_Auto_IV,0.242105263157895,0.145844218364727
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Quake_(video_game),0.231578947368421,0.164976406363605
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Deus_Ex,0.126315789473684,0.460523794438916
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Guitar_Hero_(video_game),0.463157894736842,0.003782664567027
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Max_Payne,0.431578947368421,0.007345988192889
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Chuck_Norris,0.063157894736842,0.724636220527281
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Sopranos,0.431578947368421,0.007345988192889
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_A-Team,0.389473684210526,0.016406081268887
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Futurama,0.463157894736842,0.003782664567027
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Wire,0.094736842105263,0.585858445978212
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Mad_Men,-0.084210526315789,0.630798946258977
